Company Name,Website Link
Amtrak,
BHP BILLITON,https://www.bhp.com/
Novelis,https://www.novelis.com/
ADM,https://www.adm.com/
Tesla,https://www.tesla.com/
General Motors,https://www.gm.com/
Ford Motors,https://www.india.ford.com/
Airbus,https://www.airbus.com/en
reynolds consumer products,https://reynoldsconsumerproducts.com/
mondelez international,https://www.mondelezinternational.com/
General Mills,https://www.generalmills.co.in/
danone,https://www.danone.com/
Diageo,https://www.diageo.com/en
Orora,https://www.ororagroup.com/
capital one,https://www.capitalone.com/
US Bank Corp,https://www.usbank.com/index.html
BB&T,https://play.google.com/store/apps/details?id=com.bigbasket.mobileapp
suntrust bank,https://www.truist.com/
American Express,https://www.americanexpress.com/
ally Financial,https://www.ally.com/
M&T Bank,https://www.google.co.in/m
Fifth Third Bank,https://www.53.com/content/fifth-third/en.html
Syngenta,https://www.syngenta.com/en
Olam,https://www.olamgroup.com/
Consumers Energy,https://www.consumersenergy.com/
CSC,https://csc.gov.in/
Kimberly Clark Corp.,https://www.kimberly-clark.com/en-us
Henkel,https://www.henkel.com/
Shiseido,https://www.shiseido.com/us/en/
Ecolab,https://www.ecolab.com/
Spectrum Brands,https://spectrumbrands.com/
Nu Skin,https://www.nuskin.com/us/en/
Chanel,https://www.chanel.com/us/
Amerisourcebergen,https://www.amerisourcebergen.com/
Kroger,https://www.kroger.com/
Nestlé,https://www.nestle.in/
Prudential plc,https://www.prudentialplc.com/
Bank of America,
HSBC,https://www.hsbc.co.in/
IBM,
Citigroup,
Amazon,
Wells Fargo,
Allianz,
Sensata Technologies,
United Nations,
Dupont,
Pfizer,https://www.pfizer.com/
Sanofi,
Express Scripts,
